Month,Region,Channel,Category,Product,UnitsSold,UnitPrice,Revenue,Cost,Profit,StockoutFlag
2024-01,Lagos,Supermarket,Beverages,Cola 50cl,52,269.73169683940733,14026.05,9680.32,4345.73,0
2024-01,Lagos,Open Market/Kiosk,Beverages,Cola 50cl,55,186.68090197068676,10267.45,7102.8,3164.65,0
2024-01,Lagos,Convenience Store,Beverages,Cola 50cl,30,307.0351922786027,9211.06,6366.06,2845.0,0
2024-01,Lagos,Online,Beverages,Cola 50cl,21,238.03049874792026,4998.64,3193.22,1805.42,0
2024-01,Lagos,Supermarket,Beverages,Malt Drink 33cl,45,186.9708911051054,8413.69,5802.8,2610.89,1
2024-01,Lagos,Open Market/Kiosk,Beverages,Malt Drink 33cl,29,215.06606615265287,6236.92,4004.98,2231.94,0
2024-01,Lagos,Convenience Store,Beverages,Malt Drink 33cl,21,347.3773873201035,7294.93,5150.43,2144.5,0
2024-01,Lagos,Online,Beverages,Malt Drink 33cl,23,173.17381190502596,3983.0,2575.6,1407.4,0
2024-01,Lagos,Supermarket,Beverages,Bottled Water 75cl,66,244.44298503238986,16133.24,11545.67,4587.57,0
2024-01,Lagos,Open Market/Kiosk,Beverages,Bottled Water 75cl,41,171.57828539866088,7034.71,5178.5,1856.21,0
2024-01,Lagos,Convenience Store,Beverages,Bottled Water 75cl,27,165.3959819657586,4465.69,3103.7,1361.99,0
2024-01,Lagos,Online,Beverages,Bottled Water 75cl,31,257.86844838313016,7993.92,5069.67,2924.25,0
2024-01,Lagos,Supermarket,Snacks,Biscuit Pack,35,382.87291117375577,13400.55,8771.26,4629.29,1
2024-01,Lagos,Open Market/Kiosk,Snacks,Biscuit Pack,83,185.4521483132403,15392.53,9354.38,6038.15,0
2024-01,Lagos,Convenience Store,Snacks,Biscuit Pack,34,395.6951362331802,13453.63,8551.74,4901.89,0
2024-01,Lagos,Online,Snacks,Biscuit Pack,22,127.0869310163225,2795.91,1694.65,1101.26,0
2024-01,Lagos,Supermarket,Snacks,Chips 45g,53,293.55183712283497,15558.25,11521.03,4037.22,0
2024-01,Lagos,Open Market/Kiosk,Snacks,Chips 45g,65,177.38248831454666,11529.86,7833.94,3695.92,0
2024-01,Lagos,Convenience Store,Snacks,Chips 45g,32,201.7089373146102,6454.69,4731.69,1723.0,0
2024-01,Lagos,Online,Snacks,Chips 45g,18,281.928717897877,5074.72,3048.68,2026.04,0
2024-01,Lagos,Supermarket,Snacks,Chocolate Bar,54,313.65376640426075,16937.3,11812.83,5124.47,0
2024-01,Lagos,Open Market/Kiosk,Snacks,Chocolate Bar,47,179.56071030451764,8439.35,6192.85,2246.5,0
2024-01,Lagos,Convenience Store,Snacks,Chocolate Bar,43,158.57289633941335,6818.63,4751.36,2067.27,0
2024-01,Lagos,Online,Snacks,Chocolate Bar,20,228.4552444951943,4569.1,2943.26,1625.84,0
2024-01,Lagos,Supermarket,Personal Care,Soap Bar,46,926.4268170074757,42615.63,29500.72,13114.91,1
2024-01,Lagos,Open Market/Kiosk,Personal Care,Soap Bar,54,932.2356755883983,50340.73,36316.01,14024.72,0
2024-01,Lagos,Convenience Store,Personal Care,Soap Bar,41,1016.2134024924909,41664.75,27346.14,14318.61,0
2024-01,Lagos,Online,Personal Care,Soap Bar,22,831.7499345121097,18298.5,13236.95,5061.55,0
2024-01,Lagos,Supermarket,Personal Care,Toothpaste 100g,43,376.8127184943912,16202.95,11035.75,5167.2,0
2024-01,Lagos,Open Market/Kiosk,Personal Care,Toothpaste 100g,67,370.61074320803937,24830.92,18012.28,6818.64,0
2024-01,Lagos,Convenience Store,Personal Care,Toothpaste 100g,26,943.1363304300561,24521.54,18225.14,6296.4,0
2024-01,Lagos,Online,Personal Care,Toothpaste 100g,21,982.0614994179322,20623.29,12516.28,8107.01,0
2024-01,Lagos,Supermarket,Personal Care,Shampoo 200ml,57,726.1245937025092,41389.1,27307.52,14081.58,0
2024-01,Lagos,Open Market/Kiosk,Personal Care,Shampoo 200ml,56,1070.84085706949,59967.09,36615.02,23352.07,0
2024-01,Lagos,Convenience Store,Personal Care,Shampoo 200ml,44,791.0551103843414,34806.42,25902.19,8904.23,0
2024-01,Lagos,Online,Personal Care,Shampoo 200ml,13,914.7060960747211,11891.18,8641.69,3249.49,0
2024-01,Lagos,Supermarket,Household,Detergent 1kg,43,1208.5781481842744,51968.86,33379.87,18588.99,0
2024-01,Lagos,Open Market/Kiosk,Household,Detergent 1kg,48,1225.958174570647,58845.99,36217.86,22628.13,0
2024-01,Lagos,Convenience Store,Household,Detergent 1kg,31,1395.92017406119,43273.53,28036.79,15236.74,1
2024-01,Lagos,Online,Household,Detergent 1kg,32,1139.7703016847422,36472.65,26214.24,10258.41,0
2024-01,Lagos,Supermarket,Household,Bleach 500ml,25,786.0065138072866,19650.16,12211.57,7438.59,0
2024-01,Lagos,Open Market/Kiosk,Household,Bleach 500ml,45,1176.866449872146,52958.99,32449.33,20509.66,1
2024-01,Lagos,Convenience Store,Household,Bleach 500ml,39,813.8855440840073,31741.54,22745.1,8996.44,0
2024-01,Lagos,Online,Household,Bleach 500ml,16,461.93360325002106,7390.94,4564.86,2826.08,0
2024-01,Lagos,Supermarket,Household,Air Freshener,69,645.9554223713978,44570.92,26823.81,17747.11,1
2024-01,Lagos,Open Market/Kiosk,Household,Air Freshener,50,899.9951712445505,44999.76,30943.96,14055.8,0
2024-01,Lagos,Convenience Store,Household,Air Freshener,26,705.119301279246,18333.1,12275.01,6058.09,0
2024-01,Lagos,Online,Household,Air Freshener,29,740.4803779149605,21473.93,15089.94,6383.99,0
2024-01,Lagos,Supermarket,Dairy,Milk 1L,71,267.1385334232138,18966.84,12451.15,6515.69,0
2024-01,Lagos,Open Market/Kiosk,Dairy,Milk 1L,77,427.7145967549591,32934.02,20038.91,12895.11,0
2024-01,Lagos,Convenience Store,Dairy,Milk 1L,41,686.605444863807,28150.82,19500.61,8650.21,0
2024-01,Lagos,Online,Dairy,Milk 1L,17,614.609681498001,10448.36,7642.95,2805.41,0
2024-01,Lagos,Supermarket,Dairy,Yogurt 200ml,43,259.45403268412326,11156.52,7280.61,3875.91,0
2024-01,Lagos,Open Market/Kiosk,Dairy,Yogurt 200ml,67,654.3563551481177,43841.88,31976.27,11865.61,1
2024-01,Lagos,Convenience Store,Dairy,Yogurt 200ml,34,406.09465220582547,13807.22,8441.45,5365.77,0
2024-01,Lagos,Online,Dairy,Yogurt 200ml,13,558.0750661708671,7254.98,5079.46,2175.52,0
2024-01,Lagos,Supermarket,Dairy,Butter 250g,32,549.5061992212718,17584.2,11094.75,6489.45,0
2024-01,Lagos,Open Market/Kiosk,Dairy,Butter 250g,41,848.5670603456786,34791.25,21193.5,13597.75,0
2024-01,Lagos,Convenience Store,Dairy,Butter 250g,33,489.7938657203521,16163.2,10819.33,5343.87,0
2024-01,Lagos,Online,Dairy,Butter 250g,16,495.2347060180047,7923.76,4778.11,3145.65,0
2024-01,Abuja,Supermarket,Beverages,Cola 50cl,25,328.105456147979,8202.64,5028.53,3174.11,0
2024-01,Abuja,Open Market/Kiosk,Beverages,Cola 50cl,46,175.51606055911276,8073.74,5275.5,2798.24,1
2024-01,Abuja,Convenience Store,Beverages,Cola 50cl,23,180.57182783686642,4153.15,2599.9,1553.25,0
2024-01,Abuja,Online,Beverages,Cola 50cl,12,346.4757233817213,4157.71,3004.2,1153.51,0
2024-01,Abuja,Supermarket,Beverages,Malt Drink 33cl,40,261.35257860278597,10454.1,6780.03,3674.07,0
2024-01,Abuja,Open Market/Kiosk,Beverages,Malt Drink 33cl,36,272.1240084883265,9796.46,6660.5,3135.96,0
2024-01,Abuja,Convenience Store,Beverages,Malt Drink 33cl,19,347.99204647798905,6611.85,4721.09,1890.76,0
2024-01,Abuja,Online,Beverages,Malt Drink 33cl,15,335.9058288495652,5038.59,3732.34,1306.25,0
2024-01,Abuja,Supermarket,Beverages,Bottled Water 75cl,28,318.3657553516544,8914.24,5568.19,3346.05,0
2024-01,Abuja,Open Market/Kiosk,Beverages,Bottled Water 75cl,46,325.44010816262164,14970.24,10021.11,4949.13,0
2024-01,Abuja,Convenience Store,Beverages,Bottled Water 75cl,27,329.9149146549137,8907.7,5500.81,3406.89,1
2024-01,Abuja,Online,Beverages,Bottled Water 75cl,15,308.8050378540592,4632.08,2884.63,1747.45,0
2024-01,Abuja,Supermarket,Snacks,Biscuit Pack,24,328.73760572220715,7889.7,4864.75,3024.95,0
2024-01,Abuja,Open Market/Kiosk,Snacks,Biscuit Pack,42,168.77541856979246,7088.57,4991.01,2097.56,0
2024-01,Abuja,Convenience Store,Snacks,Biscuit Pack,20,275.0175384298361,5500.35,3426.73,2073.62,0
2024-01,Abuja,Online,Snacks,Biscuit Pack,12,379.6354847450837,4555.63,3216.67,1338.96,0
2024-01,Abuja,Supermarket,Snacks,Chips 45g,39,380.3101044307044,14832.09,11090.34,3741.75,0
2024-01,Abuja,Open Market/Kiosk,Snacks,Chips 45g,61,116.4284916466094,7102.14,4616.57,2485.57,0
2024-01,Abuja,Convenience Store,Snacks,Chips 45g,27,321.2503744329245,8673.76,5387.52,3286.24,0
2024-01,Abuja,Online,Snacks,Chips 45g,22,274.1765050834131,6031.88,3780.21,2251.67,1
2024-01,Abuja,Supermarket,Snacks,Chocolate Bar,23,250.65850309937278,5765.15,3640.61,2124.54,0
2024-01,Abuja,Open Market/Kiosk,Snacks,Chocolate Bar,28,269.45233997878495,7544.67,5120.25,2424.42,0
2024-01,Abuja,Convenience Store,Snacks,Chocolate Bar,21,358.53568630405516,7529.25,5244.88,2284.37,0
2024-01,Abuja,Online,Snacks,Chocolate Bar,14,169.32243897642144,2370.51,1706.74,663.77,0
2024-01,Abuja,Supermarket,Personal Care,Soap Bar,32,1070.126821295657,34244.06,23978.13,10265.93,0
2024-01,Abuja,Open Market/Kiosk,Personal Care,Soap Bar,29,323.87898348643773,9392.49,6229.23,3163.26,0
2024-01,Abuja,Convenience Store,Personal Care,Soap Bar,29,541.2572767405886,15696.46,10717.65,4978.81,0
2024-01,Abuja,Online,Personal Care,Soap Bar,25,1019.8697303525837,25496.74,16325.6,9171.14,0
2024-01,Abuja,Supermarket,Personal Care,Toothpaste 100g,33,773.1211640724173,25513.0,15378.18,10134.82,0
2024-01,Abuja,Open Market/Kiosk,Personal Care,Toothpaste 100g,31,1046.7676233364814,32449.8,20136.17,12313.63,0
2024-01,Abuja,Convenience Store,Personal Care,Toothpaste 100g,37,1122.9707513324638,41549.92,28164.1,13385.82,0
2024-01,Abuja,Online,Personal Care,Toothpaste 100g,10,650.3660526377789,6503.66,4603.66,1900.0,0
2024-01,Abuja,Supermarket,Personal Care,Shampoo 200ml,45,493.44634073168106,22205.09,15305.12,6899.97,0
2024-01,Abuja,Open Market/Kiosk,Personal Care,Shampoo 200ml,42,367.62400356222787,15440.21,10858.49,4581.72,0
2024-01,Abuja,Convenience Store,Personal Care,Shampoo 200ml,29,831.2076001821783,24105.02,17779.79,6325.23,0
2024-01,Abuja,Online,Personal Care,Shampoo 200ml,20,959.0023977686051,19180.05,13499.71,5680.34,0
2024-01,Abuja,Supermarket,Household,Detergent 1kg,28,1176.1326897672573,32931.72,20651.03,12280.69,0
2024-01,Abuja,Open Market/Kiosk,Household,Detergent 1kg,67,1438.6931380247772,96392.44,70299.62,26092.82,0
2024-01,Abuja,Convenience Store,Household,Detergent 1kg,19,484.64852179213005,9208.32,5994.44,3213.88,0
2024-01,Abuja,Online,Household,Detergent 1kg,12,1374.5755230598058,16494.91,10473.34,6021.57,0
2024-01,Abuja,Supermarket,Household,Bleach 500ml,59,1497.7275215866712,88365.92,63188.55,25177.37,0
2024-01,Abuja,Open Market/Kiosk,Household,Bleach 500ml,57,863.4927025047772,49219.08,31294.31,17924.77,0
2024-01,Abuja,Convenience Store,Household,Bleach 500ml,23,1486.4946287096348,34189.38,22484.61,11704.77,0
2024-01,Abuja,Online,Household,Bleach 500ml,19,1074.7525281317785,20420.3,15288.17,5132.13,0
2024-01,Abuja,Supermarket,Household,Air Freshener,56,642.5348299771929,35981.95,25796.82,10185.13,0
2024-01,Abuja,Open Market/Kiosk,Household,Air Freshener,49,646.1993763048854,31663.77,21814.47,9849.3,0
2024-01,Abuja,Convenience Store,Household,Air Freshener,31,1120.7661787029238,34743.75,21299.59,13444.16,0
2024-01,Abuja,Online,Household,Air Freshener,19,1151.5846400255555,21880.11,15921.74,5958.37,0
2024-01,Abuja,Supermarket,Dairy,Milk 1L,47,821.1094911308527,38592.15,27771.45,10820.7,0
2024-01,Abuja,Open Market/Kiosk,Dairy,Milk 1L,56,269.01073397246347,15064.6,10904.85,4159.75,0
2024-01,Abuja,Convenience Store,Dairy,Milk 1L,21,436.5747865636933,9168.07,6349.25,2818.82,1
2024-01,Abuja,Online,Dairy,Milk 1L,20,601.8232761394717,12036.47,8960.54,3075.93,0
2024-01,Abuja,Supermarket,Dairy,Yogurt 200ml,32,710.3118576194331,22729.98,13867.62,8862.36,0
2024-01,Abuja,Open Market/Kiosk,Dairy,Yogurt 200ml,31,334.5560560849108,10371.24,7402.36,2968.88,0
2024-01,Abuja,Convenience Store,Dairy,Yogurt 200ml,32,543.4015658142891,17388.85,10860.09,6528.76,0
2024-01,Abuja,Online,Dairy,Yogurt 200ml,14,348.18762965758515,4874.63,3240.9,1633.73,1
2024-01,Abuja,Supermarket,Dairy,Butter 250g,36,399.470493829206,14380.94,9088.26,5292.68,0
2024-01,Abuja,Open Market/Kiosk,Dairy,Butter 250g,62,754.7879543146321,46796.85,33489.62,13307.23,0
2024-01,Abuja,Convenience Store,Dairy,Butter 250g,25,562.9895284831575,14074.74,8692.51,5382.23,0
2024-01,Abuja,Online,Dairy,Butter 250g,16,768.4134154141723,12294.61,7949.13,4345.48,0
2024-01,Port Harcourt,Supermarket,Beverages,Cola 50cl,36,208.33251574186065,7499.97,5040.55,2459.42,0
2024-01,Port Harcourt,Open Market/Kiosk,Beverages,Cola 50cl,36,290.49299410882077,10457.75,6412.48,4045.27,0
2024-01,Port Harcourt,Convenience Store,Beverages,Cola 50cl,12,176.54315080861207,2118.52,1324.33,794.19,0
2024-01,Port Harcourt,Online,Beverages,Cola 50cl,12,337.24244924873796,4046.91,2861.62,1185.29,0
2024-01,Port Harcourt,Supermarket,Beverages,Malt Drink 33cl,24,328.9633312121055,7895.12,5360.47,2534.65,0
2024-01,Port Harcourt,Open Market/Kiosk,Beverages,Malt Drink 33cl,26,181.90893602263768,4729.63,2966.98,1762.65,0
2024-01,Port Harcourt,Convenience Store,Beverages,Malt Drink 33cl,29,293.84035565445276,8521.37,5367.88,3153.49,0
2024-01,Port Harcourt,Online,Beverages,Malt Drink 33cl,9,242.52459134786326,2182.72,1422.89,759.83,0
2024-01,Port Harcourt,Supermarket,Beverages,Bottled Water 75cl,43,295.05153208302727,12687.22,8139.16,4548.06,0
2024-01,Port Harcourt,Open Market/Kiosk,Beverages,Bottled Water 75cl,59,276.31204401850414,16302.41,10220.84,6081.57,0
2024-01,Port Harcourt,Convenience Store,Beverages,Bottled Water 75cl,48,248.45557128960695,11925.87,7798.15,4127.72,0
2024-01,Port Harcourt,Online,Beverages,Bottled Water 75cl,16,201.6266865402255,3226.03,2404.92,821.11,0
2024-01,Port Harcourt,Supermarket,Snacks,Biscuit Pack,25,201.10095292938587,5027.52,3481.92,1545.6,0
